id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,packet span,122,17,41,57,415,ship,baseline,monotonic-signal,raise-signal
m002,g002,retry pressure,34,41,4,47,229,ship,edge,drag-penalty,drop-slack
m003,g003,route drift,86,37,36,33,289,ship,recovery,confidence-floor,raise-drag
m004,g004,socket risk,72,67,43,31,259,ship,negative,lane-boundary,lower-confidence
m005,g005,packet span,121,50,31,54,459,ship,baseline,monotonic-signal,raise-signal
m006,g006,retry pressure,48,0,26,64,220,ship,edge,drag-penalty,drop-slack
m007,g007,route drift,107,61,32,30,378,ship,recovery,confidence-floor,raise-drag
m008,g008,socket risk,96,54,5,91,514,ship,negative,lane-boundary,lower-confidence
m009,g009,packet span,103,53,18,59,444,ship,baseline,monotonic-signal,raise-signal
m010,g010,retry pressure,97,44,26,84,451,ship,edge,drag-penalty,drop-slack
m011,g011,route drift,58,59,38,58,273,ship,recovery,confidence-floor,raise-drag
m012,g012,socket risk,42,28,14,80,286,ship,negative,lane-boundary,lower-confidence
m013,g013,packet span,46,15,31,72,235,ship,baseline,monotonic-signal,raise-signal
m014,g014,retry pressure,38,0,38,66,170,watch,edge,drag-penalty,drop-slack
m015,g015,route drift,86,12,29,67,346,ship,recovery,confidence-floor,raise-drag
m016,g016,socket risk,70,50,16,59,346,ship,negative,lane-boundary,lower-confidence
m017,g017,packet span,74,71,14,36,337,ship,baseline,monotonic-signal,raise-signal
m018,g018,retry pressure,110,3,36,66,393,ship,edge,drag-penalty,drop-slack
m019,g019,route drift,48,23,34,85,269,ship,recovery,confidence-floor,raise-drag
m020,g020,socket risk,65,65,24,43,298,ship,negative,lane-boundary,lower-confidence
m021,g021,packet span,42,54,24,46,224,ship,baseline,monotonic-signal,raise-signal
m022,g022,retry pressure,64,5,5,32,251,ship,edge,drag-penalty,drop-slack
m023,g023,route drift,83,34,25,43,319,ship,recovery,confidence-floor,raise-drag
m024,g024,socket risk,96,11,26,40,327,ship,negative,lane-boundary,lower-confidence
m025,g025,packet span,115,77,31,63,486,ship,baseline,monotonic-signal,raise-signal
